"VALUE","CLASS_NAME","RED","GREEN","BLUE","GROUP"
0,"Background",0,0,0,"O"
1,"Corn",1,0.8275,0,"A"
2,"Cotton",1,0.149,0.149,"A"
3,"Rice",0,0.6588,0.898,"A"
4,"Sorghum",1,0.6196,0.0471,"A"
5,"Soybeans",0.149,0.4431,0,"A"
6,"Sunflower",1,1,0,"A"
7," ",0,0,0,NA
8," ",0,0,0,NA
9," ",0,0,0,NA
10,"Peanuts",0.4392,0.6471,0,"A"
11,"Tobacco",0,0.6863,0.298,"A"
12,"Sweet Corn",0.8667,0.6471,0.0471,"A"
13,"Pop or Orn Corn",0.8667,0.6471,0.0471,"A"
14,"Mint",0.498,0.8275,1,"A"
15," ",0,0,0,NA
16," ",0,0,0,NA
17," ",0,0,0,NA
18," ",0,0,0,NA
19," ",0,0,0,NA
20," ",0,0,0,NA
21,"Barley",0.8863,0,0.4863,"A"
22,"Durum Wheat",0.5373,0.3882,0.3294,"A"
23,"Spring Wheat",0.8471,0.7098,0.4196,"A"
24,"Winter Wheat",0.6471,0.4392,0,"A"
25,"Other Small Grains",0.8392,0.6196,0.7373,"A"
26,"Dbl Crop WinWht/Soybeans",0.4431,0.4431,0,"A"
27,"Rye",0.6784,0,0.4863,"A"
28,"Oats",0.6275,0.349,0.5373,"A"
29,"Millet",0.4431,0,0.2863,"A"
30,"Speltz",0.8392,0.6196,0.7373,"A"
31,"Canola",0.8196,1,0,"A"
32,"Flaxseed",0.498,0.6,1,"A"
33,"Safflower",0.8392,0.8392,0,"A"
34,"Rape Seed",0.8196,1,0,"A"
35,"Mustard",0,0.6863,0.298,"A"
36,"Alfalfa",1,0.6471,0.8863,"A"
37,"Other Hay/Non Alfalfa",0.6471,0.9529,0.549,"A"
38,"Camelina",0,0.6863,0.298,"A"
39,"Buckwheat",0.8392,0.6196,0.7373,"A"
40," ",0,0,0,NA
41,"Sugarbeets",0.6588,0,0.898,"A"
42,"Dry Beans",0.6471,0,0,"A"
43,"Potatoes",0.4431,0.149,0,"A"
44,"Other Crops",0,0.6863,0.298,"A"
45,"Sugarcane",0.698,0.498,1,"A"
46,"Sweet Potatoes",0.4431,0.149,0,"A"
47,"Misc Vegs & Fruits",1,0.4,0.4,"A"
48,"Watermelons",1,0.4,0.4,"A"
49,"Onions",1,0.8,0.4,"A"
50,"Cucumbers",1,0.4,0.4,"A"
51,"Chick Peas",0,0.6863,0.298,"A"
52,"Lentils",0,0.8667,0.6863,"A"
53,"Peas",0.3294,1,0,"A"
54,"Tomatoes",0.9529,0.6392,0.4667,"A"
55,"Caneberries",1,0.4,0.4,"A"
56,"Hops",0,0.6863,0.298,"A"
57,"Herbs",0.498,0.8275,1,"A"
58,"Clover/Wildflowers",0.9098,0.749,1,"A"
59,"Sod/Grass Seed",0.6863,1,0.8667,"A"
60,"Switchgrass",0,0.6863,0.298,"A"
61,"Fallow/Idle Cropland",0.749,0.749,0.4667,"A"
62," ",0,0,0,NA
63,"Forest",0.5765,0.8,0.5765,"N"
64,"Shrubland",0.7765,0.8392,0.6196,"N"
65,"Barren",0.8,0.749,0.6392,"N"
66,"Cherries",1,0,1,"A"
67,"Peaches",1,0.5569,0.6667,"A"
68,"Apples",0.7294,0,0.3098,"A"
69,"Grapes",0.4392,0.2667,0.5373,"A"
70,"Christmas Trees",0,0.4667,0.4667,"A"
71,"Other Tree Crops",0.698,0.6078,0.4392,"A"
72,"Citrus",1,1,0.498,"A"
73," ",0,0,0,NA
74,"Pecans",0.7098,0.4392,0.3569,"A"
75,"Almonds",0,0.6471,0.5098,"A"
76,"Walnuts",0.9176,0.8392,0.6863,"A"
77,"Pears",0.698,0.6078,0.4392,"A"
78," ",0,0,0,NA
79," ",0,0,0,NA
80," ",0,0,0,NA
81,"Clouds/No Data",0.9529,0.9529,0.9529,"O"
82,"Developed",0.6078,0.6078,0.6078,"D"
83,"Water",0.298,0.4392,0.6392,"O"
84," ",0,0.6078,0,NA
85," ",0,0,0,NA
86," ",0,0,0,NA
87,"Wetlands",0.498,0.698,0.698,"N"
88,"Nonag/Undefined",0.9098,1,0.749,"O"
89," ",0,0,0,NA
90," ",0,0,0,NA
91," ",0,0,0,NA
92,"Aquaculture",0,1,1,"A"
93," ",0,0,0,NA
94," ",0,0,0,NA
95," ",0,0,0,NA
96," ",0,0,0,NA
97," ",0,0,0,NA
98," ",0,0,0,NA
99," ",0,0,0,NA
100," ",0,0,0,NA
101," ",0,0,0,NA
102," ",0,0,0,NA
103," ",0,0,0,NA
104," ",0,0,0,NA
105," ",0,0,0,NA
106," ",0,0,0,NA
107," ",0,0,0,NA
108," ",0,0,0,NA
109," ",0,0,0,NA
110," ",0,0,0,NA
111,"Open Water",0.298,0.4392,0.6392,"O"
112,"Perennial Ice/Snow ",0.8275,0.8863,0.9765,"O"
113," ",0,0,0,NA
114," ",0,0,0,NA
115," ",0,0,0,NA
116," ",0,0,0,NA
117," ",0,0,0,NA
118," ",0,0,0,NA
119," ",0,0,0,NA
120," ",0,0,0,NA
121,"Developed/Open Space",0.6078,0.6078,0.6078,"D"
122,"Developed/Low Intensity",0.6078,0.6078,0.6078,"D"
123,"Developed/Med Intensity",0.6078,0.6078,0.6078,"D"
124,"Developed/High Intensity",0.6078,0.6078,0.6078,"D"
125," ",0,0,0,NA
126," ",0,0,0,NA
127," ",0,0,0,NA
128," ",0,0,0,NA
129," ",0,0,0,NA
130," ",0,0,0,NA
131,"Barren",0.8,0.749,0.6392,"N"
132," ",0,0,0,NA
133," ",0,0,0,NA
134," ",0,0,0,NA
135," ",0,0,0,NA
136," ",0,0,0,NA
137," ",0,0,0,NA
138," ",0,0,0,NA
139," ",0,0,0,NA
140," ",0,0,0,NA
141,"Deciduous Forest",0.5765,0.8,0.5765,"N"
142,"Evergreen Forest",0.5765,0.8,0.5765,"N"
143,"Mixed Forest",0.5765,0.8,0.5765,"N"
144," ",0,0,0,NA
145," ",0,0,0,NA
146," ",0,0,0,NA
147," ",0,0,0,NA
148," ",0,0,0,NA
149," ",0,0,0,NA
150," ",0,0,0,NA
151," ",0,0,0,NA
152,"Shrubland",0.7765,0.8392,0.6196,"N"
153," ",0,0,0,NA
154," ",0,0,0,NA
155," ",0,0,0,NA
156," ",0,0,0,NA
157," ",0,0,0,NA
158," ",0,0,0,NA
159," ",0,0,0,NA
160," ",0,0,0,NA
161," ",0,0,0,NA
162," ",0,0,0,NA
163," ",0,0,0,NA
164," ",0,0,0,NA
165," ",0,0,0,NA
166," ",0,0,0,NA
167," ",0,0,0,NA
168," ",0,0,0,NA
169," ",0,0,0,NA
170," ",0,0,0,NA
171," ",0,0,0,NA
172," ",0,0,0,NA
173," ",0,0,0,NA
174," ",0,0,0,NA
175," ",0,0,0,NA
176,"Grass/Pasture",0.9098,1,0.749,"A"
177," ",0,0,0,NA
178," ",0,0,0,NA
179," ",0,0,0,NA
180," ",0,0,0,NA
181," ",0,0,0,NA
182," ",0,0,0,NA
183," ",0,0,0,NA
184," ",0,0,0,NA
185," ",0,0,0,NA
186," ",0,0,0,NA
187," ",0,0,0,NA
188," ",0,0,0,NA
189," ",0,0,0,NA
190,"Woody Wetlands",0.498,0.698,0.698,"N"
191," ",0,0,0,NA
192," ",0,0,0,NA
193," ",0,0,0,NA
194," ",0,0,0,NA
195,"Herbaceous Wetlands",0.498,0.698,0.698,"N"
196," ",0,0,0,NA
197," ",0,0,0,NA
198," ",0,0,0,NA
199," ",0,0,0,NA
200," ",0,0,0,NA
201," ",0,0,0,NA
202," ",0,0,0,NA
203," ",0,0,0,NA
204,"Pistachios",0,1,0.549,"A"
205,"Triticale",0.8392,0.6196,0.7373,"A"
206,"Carrots",1,0.4,0.4,"A"
207,"Asparagus",1,0.4,0.4,"A"
208,"Garlic",1,0.4,0.4,"A"
209,"Cantaloupes",1,0.4,0.4,"A"
210,"Prunes",1,0.5569,0.6667,"A"
211,"Olives",0.2,0.2863,0.2,"A"
212,"Oranges",0.898,0.4431,0.149,"A"
213,"Honeydew Melons",1,0.4,0.4,"A"
214,"Broccoli",1,0.4,0.4,"A"
215,"Avocados",0.4,0.6,0.3,"A"
216,"Peppers",1,0.4,0.4,"A"
217,"Pomegranates",0.698,0.6078,0.4392,"A"
218,"Nectarines",1,0.5569,0.6667,"A"
219,"Greens",1,0.4,0.4,"A"
220,"Plums",1,0.5569,0.6667,"A"
221,"Strawberries",1,0.4,0.4,"A"
222,"Squash",1,0.4,0.4,"A"
223,"Apricots",1,0.5569,0.6667,"A"
224,"Vetch",0,0.6863,0.302,"A"
225,"Dbl Crop WinWht/Corn",1,0.8275,0,"A"
226,"Dbl Crop Oats/Corn",1,0.8275,0,"A"
227,"Lettuce",1,0.4,0.4,"A"
228,"Dbl Crop Triticale/Corn",1,0.8275,0,"A"
229,"Pumpkins",1,0.4,0.4,"A"
230,"Dbl Crop Lettuce/Durum Wht",0.5373,0.3882,0.3294,"A"
231,"Dbl Crop Lettuce/Cantaloupe",1,0.4,0.4,"A"
232,"Dbl Crop Lettuce/Cotton",1,0.149,0.149,"A"
233,"Dbl Crop Lettuce/Barley",0.8863,0,0.4863,"A"
234,"Dbl Crop Durum Wht/Sorghum",1,0.6196,0.0471,"A"
235,"Dbl Crop Barley/Sorghum",1,0.6196,0.0471,"A"
236,"Dbl Crop WinWht/Sorghum",0.6471,0.4392,0,"A"
237,"Dbl Crop Barley/Corn",1,0.8275,0,"A"
238,"Dbl Crop WinWht/Cotton",0.6471,0.4392,0,"A"
239,"Dbl Crop Soybeans/Cotton",0.149,0.4431,0,"A"
240,"Dbl Crop Soybeans/Oats",0.149,0.4431,0,"A"
241,"Dbl Crop Corn/Soybeans",1,0.8275,0,"A"
242,"Blueberries",0,0,0.6,"A"
243,"Cabbage",1,0.4,0.4,"A"
244,"Cauliflower",1,0.4,0.4,"A"
245,"Celery",1,0.4,0.4,"A"
246,"Radishes",1,0.4,0.4,"A"
247,"Turnips",1,0.4,0.4,"A"
248,"Eggplants",1,0.4,0.4,"A"
249,"Gourds",1,0.4,0.4,"A"
250,"Cranberries",1,0.4,0.4,"A"
251," ",1,0.8275,0,NA
252," ",0.149,0.4431,0,NA
253," ",0.6471,0.4392,0,NA
254,"Dbl Crop Barley/Soybeans",0.149,0.4431,0,"A"
255," ",0,0,0,NA
