VALUE,CLASS_NAME,RED,GREEN,BLUE,OPACITY,GROUP,CROP_TYPE,HERB_STATUS,POLL_DEP,POLLDEP_SOURCE
0,Background,0,0,0,0,O,,T/NA,,
1,Corn,1,0.82745098,0,1,A,FC,T/NA,NI,Klein_2007
2,Cotton,1,0.149019608,0.149019608,1,A,FC,S,IS,Klein_2007
3,Rice,0,0.658823529,0.898039216,1,A,FC,T/NA,NI,Klein_2007
4,Sorghum,1,0.619607843,0.047058824,1,A,FC,T/NA,NI,Klein_2007
5,Soybeans,0.149019608,0.439215686,0,1,A,FC,T/NA,M,Klein_2007
6,Sunflower,1,1,0,1,A,FC,S,M,Klein_2007
10,Peanuts,0.439215686,0.647058824,0,1,A,FC,S,L,Klein_2007
11,Tobacco,0,0.68627451,0.298039216,1,A,FC,S,NI,
12,Sweet Corn,0.866666667,0.647058824,0.047058824,1,A,FVS,S,NI,Klein_2007
13,Pop or Orn Corn,0.866666667,0.647058824,0.047058824,1,A,FC,S,NI,Klein_2007
14,Mint,0.498039216,0.82745098,1,1,A,FVS,S,UK,
21,Barley,0.88627451,0,0.48627451,1,A,FC,T/NA,NI,Klein_2007
22,Durum Wheat,0.537254902,0.388235294,0.329411765,1,A,FC,T/NA,NI,Klein_2007
23,Spring Wheat,0.847058824,0.709803922,0.419607843,1,A,FC,T/NA,NI,Klein_2007
24,Winter Wheat,0.647058824,0.439215686,0,1,A,FC,T/NA,NI,Klein_2007
25,Other Small Grains,0.839215686,0.619607843,0.737254902,1,A,FC,T/NA,NI,Klein_2007
26,Dbl Crop WinWht/Soybeans,0.439215686,0.439215686,0,1,A,FC,T/NA,NI,Klein_2007
27,Rye,0.678431373,0,0.48627451,1,A,FC,T/NA,NI,Klein_2007
28,Oats,0.62745098,0.349019608,0.537254902,1,A,FC,T/NA,NI,Klein_2007
29,Millet,0.439215686,0,0.28627451,1,A,FC,T/NA,NI,Klein_2007
30,Speltz,0.839215686,0.619607843,0.737254902,1,A,FC,T/NA,NI,
31,Canola,0.819607843,1,0,1,A,FC,S,G,Klein_2007
32,Flaxseed,0.498039216,0.6,1,1,A,FC,S,L,Klein_2007
33,Safflower,0.839215686,0.839215686,0,1,A,FC,S,L,Klein_2007
34,Rape Seed,0.819607843,1,0,1,A,FC,S,M,Klein_2007
35,Mustard,0,0.68627451,0.298039216,1,A,FC,S,M,Klein_2007
36,Alfalfa,1,0.647058824,0.88627451,1,A,,S,SI,
37,Other Hay/Non Alfalfa,0.647058824,0.949019608,0.549019608,1,A,,T/NA,,
38,Camelina,0,0.68627451,0.298039216,1,A,FC,S,L,Groeneveld and Klein 2013
39,Buckwheat,0.839215686,0.619607843,0.737254902,1,A,FC,S,G,Klein_2007
41,Sugarbeets,0.658823529,0,0.898039216,1,A,FC,S,NI,Klein_2007
42,Dry Beans,0.647058824,0,0,1,A,FC,S,L,Klein_2007
43,Potatoes,0.439215686,0.149019608,0,1,A,FC,S,IB,Klein_2007
44,Other Crops,0,0.68627451,0.298039216,1,A,FC,S,UK,
45,Sugarcane,0.698039216,0.498039216,1,1,A,FC,T/NA,NI,Klein_2007
46,Sweet Potatoes,0.439215686,0.149019608,0,1,A,FVS,S,IB,Klein_2007
47,Misc Vegs & Fruits,1,0.4,0.4,1,A,FVS,S,UK,
48,Watermelons,1,0.4,0.4,1,A,FVS,S,E,Klein_2007
49,Onions,1,0.8,0.4,1,A,FVS,S,IS,Klein_2007
50,Cucumbers,1,0.4,0.4,1,A,FVS,S,G,Klein_2007
51,Chick Peas,0,0.68627451,0.298039216,1,A,FC,S,NI,Klein_2007
52,Lentils,0,0.866666667,0.68627451,1,A,FC,S,NI,Klein_2007
53,Peas,0.329411765,1,0,1,A,FC,S,NI,Klein_2007
54,Tomatoes,0.949019608,0.639215686,0.466666667,1,A,FVS,S,L,Klein_2007
55,Caneberries,1,0.4,0.4,1,A,FVS,S,G,Klein_2007
56,Hops,0,0.68627451,0.298039216,1,A,FVS,S,UK,
57,Herbs,0.498039216,0.82745098,1,1,A,FVS,S,UK,
58,Clover/Wildflowers,0.909803922,0.749019608,1,1,A,FVS,S,IS,
59,Sod/Grass Seed,0.68627451,1,0.866666667,1,A,,T/NA,NI,Klein_2007
60,Switchgrass,0,0.68627451,0.298039216,1,A,FC,T/NA,NI,
61,Fallow/Idle Cropland,0.749019608,0.749019608,0.466666667,1,A,,T/NA,,
63,Forest,0.576470588,0.8,0.576470588,1,N,,T/NA,,
65,Barren,0.8,0.749019608,0.639215686,1,N,,T/NA,,
66,Cherries,1,0,1,1,A,FVS,S,G,Klein_2007
67,Peaches,1,0.556862745,0.666666667,1,A,FVS,S,G,Klein_2007
68,Apples,0.729411765,0,0.309803922,1,A,FVS,S,G,Klein_2007
69,Grapes,0.439215686,0.266666667,0.537254902,1,A,FVS,S,NI,Klein_2007
70,Christmas Trees,0,0.466666667,0.466666667,1,A,FVS,T/NA,NI,Klein_2007
71,Other Tree Crops,0.698039216,0.607843137,0.439215686,1,A,FVS,S,UK,
72,Citrus,1,1,0.498039216,1,A,FVS,S,L,Klein_2007
74,Pecans,0.709803922,0.439215686,0.356862745,1,A,FVS,S,UK,
75,Almonds,0,0.647058824,0.509803922,1,A,FVS,S,G,Klein_2007
76,Walnuts,0.917647059,0.839215686,0.68627451,1,A,FVS,S,NI,
77,Pears,0.698039216,0.607843137,0.439215686,1,A,FVS,S,G,Klein_2007
81,Clouds/No Data,0.949019608,0.949019608,0.949019608,1,O,,T/NA,,
82,Developed,0.607843137,0.607843137,0.607843137,1,D,,T/NA,,
83,Water,0.298039216,0.439215686,0.639215686,1,O,,T/NA,,
87,Wetlands,0.498039216,0.698039216,0.698039216,1,N,,T/NA,,
88,Nonag/Undefined,0.909803922,1,0.749019608,1,O,,T/NA,,
92,Aquaculture,0,1,1,1,A,,T/NA,NI,Klein_2007
111,Open Water,0.298039216,0.439215686,0.639215686,1,O,,T/NA,,
112,Perennial Ice/Snow,0.82745098,0.88627451,0.976470588,1,O,,T/NA,,
121,Developed/Open Space,0.607843137,0.607843137,0.607843137,1,D,,T/NA,,
122,Developed/Low Intensity,0.607843137,0.607843137,0.607843137,1,D,,T/NA,,
123,Developed/Med Intensity,0.607843137,0.607843137,0.607843137,1,D,,T/NA,,
124,Developed/High Intensity,0.607843137,0.607843137,0.607843137,1,D,,T/NA,,
131,Barren,0.8,0.749019608,0.639215686,1,N,,T/NA,,
141,Deciduous Forest,0.576470588,0.8,0.576470588,1,N,,T/NA,,
142,Evergreen Forest,0.576470588,0.8,0.576470588,1,N,,T/NA,,
143,Mixed Forest,0.576470588,0.8,0.576470588,1,N,,T/NA,,
152,Shrubland,0.776470588,0.839215686,0.619607843,1,N,,T/NA,,
176,Grass/Pasture,0.909803922,1,0.749019608,1,A,,T/NA,,
190,Woody Wetlands,0.498039216,0.698039216,0.698039216,1,N,,T/NA,,
195,Herbaceous Wetlands,0.498039216,0.698039216,0.698039216,1,N,,T/NA,,
204,Pistachios,0,1,0.549019608,1,A,FVS,S,UK,
205,Triticale,0.839215686,0.619607843,0.737254902,1,A,FC,T/NA,NI,Klein_2007
206,Carrots,1,0.4,0.4,1,A,FVS,S,IS,Klein_2007
207,Asparagus,1,0.4,0.4,1,A,FVS,S,IS,Klein_2007
208,Garlic,1,0.4,0.4,1,A,FVS,S,IB,Klein_2007
209,Cantaloupes,1,0.4,0.4,1,A,FVS,S,E,Klein_2007
210,Prunes,1,0.556862745,0.666666667,1,A,FVS,S,G,Klein_2007
211,Olives,0.2,0.28627451,0.2,1,A,FVS,S,NI,Klein_2007
212,Oranges,0.898039216,0.439215686,0.149019608,1,A,FVS,S,L,Klein_2007
213,Honeydew Melons,1,0.4,0.4,1,A,FVS,S,E,Klein_2007
214,Broccoli,1,0.4,0.4,1,A,FVS,S,IS,Klein_2007
216,Peppers,1,0.4,0.4,1,A,FVS,S,L,Klein_2007
217,Pomegranates,0.698039216,0.607843137,0.439215686,1,A,FVS,S,M,Klein_2007
218,Nectarines,1,0.556862745,0.666666667,1,A,FVS,S,G,Klein_2007
219,Greens,1,0.4,0.4,1,A,FVS,S,UK,
220,Plums,1,0.556862745,0.666666667,1,A,FVS,S,G,Klein_2007
221,Strawberries,1,0.4,0.4,1,A,FVS,S,M,Klein_2007
222,Squash,1,0.4,0.4,1,A,FVS,S,E,Klein_2007
223,Apricots,1,0.556862745,0.666666667,1,A,FVS,S,G,Klein_2007
224,Vetch,0,0.68627451,0.298039216,1,A,FC,S,SI,
225,Dbl Crop WinWht/Corn,1,0.82745098,0,1,A,FC,T/NA,NI,Klein_2007
226,Dbl Crop Oats/Corn,1,0.82745098,0,1,A,FC,T/NA,NI,Klein_2007
227,Lettuce,1,0.4,0.4,1,A,FVS,S,IS,Klein_2007
229,Pumpkins,1,0.4,0.4,1,A,FVS,S,E,Klein_2007
230,Dbl Crop Lettuce/Durum Wht,0.537254902,0.388235294,0.329411765,1,A,FC,T/NA,IS,Klein_2007
231,Dbl Crop Lettuce/Cantaloupe,1,0.4,0.4,1,A,FC,S,IS,Klein_2007
232,Dbl Crop Lettuce/Cotton,1,0.149019608,0.149019608,1,A,FC,S,IS,Klein_2007
233,Dbl Crop Lettuce/Barley,0.88627451,0,0.48627451,1,A,FC,T/NA,IS,Klein_2007
234,Dbl Crop Durum Wht/Sorghum,1,0.619607843,0.047058824,1,A,FC,T/NA,NI,Klein_2007
235,Dbl Crop Barley/Sorghum,1,0.619607843,0.047058824,1,A,FC,T/NA,NI,Klein_2007
236,Dbl Crop WinWht/Sorghum,0.647058824,0.439215686,0,1,A,FC,T/NA,NI,Klein_2007
237,Dbl Crop Barley/Corn,1,0.82745098,0,1,A,FC,T/NA,NI,Klein_2007
238,Dbl Crop WinWht/Cotton,0.647058824,0.439215686,0,1,A,FC,T/NA,NI,Klein_2007
239,Dbl Crop Soybeans/Cotton,0.149019608,0.439215686,0,1,A,FC,T/NA,M,Klein_2007
240,Dbl Crop Soybeans/Oats,0.149019608,0.439215686,0,1,A,FC,T/NA,M,Klein_2007
241,Dbl Crop Corn/Soybeans,1,0.82745098,0,1,A,FC,T/NA,NI,Klein_2007
242,Blueberries,0,0,0.6,1,A,FVS,S,G,Klein_2007
243,Cabbage,1,0.4,0.4,1,A,FVS,S,IS,Klein_2007
244,Cauliflower,1,0.4,0.4,1,A,FVS,S,IS,Klein_2007
245,Celery,1,0.4,0.4,1,A,FVS,S,IS,Klein_2007
246,Radishes,1,0.4,0.4,1,A,FVS,S,IS,Klein_2007
247,Turnips,1,0.4,0.4,1,A,FVS,S,G,Klein_2007
248,Eggplants,1,0.4,0.4,1,A,FVS,S,M,Klein_2007
249,Gourds,1,0.4,0.4,1,A,FVS,S,E,Klein_2007
250,Cranberries,1,0.4,0.4,1,A,FVS,S,G,Klein_2007
254,Dbl Crop Barley/Soybeans,0.149019608,0.439215686,0,1,A,FC,T/NA,NI,Klein_2007
